Tempo;CasADi_Pwh_Bar;Linear_Pwh_Bar
1608;1291,676395169839;105,72655665325094
1609;1291,429709479582;105,73773795270213
1610;1291,1866961379621;105,74884500291917
1611;1290,9473510558585;105,75987783792358
1612;1290,7116700048307;105,77083649275379
1613;1290,479648618158;105,78172100346181
1614;1290,2512823918769;105,79253140711
1615;1290,026566685814;105,80326774176778
1616;1289,8054967246214;105,8139300465084
1617;1289,5880675988055;105,82451836140554
1618;1289,3742742657541;105,83503272753015
1619;1289,1641115507618;105,84547318694707
1620;1288,9575741480535;105,85583978271173
1621;1288,754656621802;105,8661325588669
1622;1288,555353407146;105,87635156043925
1623;1288,359658811205;105,8864968334362
1624;1288,167567014088;105,89656842484243
1625;1287,9790720699039;105,90656638261666
1626;1287,7941679077649;105,91649075568827
1627;1287,6128483327889;105,9263415939539
1628;1287,4351070270986;105,93611894827421
1629;1287,2615173509337;105,94582287047045
1630;1287,0914901648616;105,95545341332114
1631;1286,9250187747198;105,96501063055862
1632;1286,762096359569;105,97449457686581
1633;1286,6027159741075;105,98390530787272
1634;1286,4468705508343;105,99324288015318
1635;1286,2945529020126;106,0025073512213
1636;1286,1457557214549;106,01169877952823
1637;1286,0004715861737;106,02081722445868
1638;1285,8586929579064;106,02986274632755
1639;1285,7204121845414;106,03883540637652
1640;1285,585621501462;106,04773526677062
1641;1285,4543130328195;106,05656239059482
1642;1285,3264787927467;106,06531684185069
1643;1285,2021106865216;106,07399868545282
1644;1285,0812005116902;106,08260798722556
1645;1284,9637399591527;106,09114481389943
1646;1284,849720614221;106,09960923310783
1647;1284,7391339576486;106,10800131338347
1648;1284,63197136664;106,11632112415505
1649;1284,5282241158402;106,12456873574372
1650;1284,4278833783085;106,13274421935961
1651;1284,3309402264767;106,14084764709847
1652;1284,2373856330948;106,14887909193814
1653;1284,1472104721697;106,1568386277351
1654;1284,0604055198858;106,16472632922097
1655;1283,9769614555237;106,1725422719991
1656;1283,8968688623675;106,18028653254109
1657;1283,820118228604;106,18795918818319
1658;1283,7466999482172;106,19556031712301
1659;1283,676604321874;106,20308999841586
1660;1283,6098215578054;106,21054831197135
