Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg
7531243.2818417;2964306.735384195;7527506.281797186;12432506.281797186;0.5611586318731283;13.174314986006301;10.69550245080008;0.8051916345329451;9.890310816267135;0.13174314986006302
7533919.590789578;2964274.0041232165;7530175.440791646;12435175.440791646;0.5617949974604874;13.167465215541096;10.69848683606639;0.8047162802234998;9.89377055584289;0.13167465215541097
7536593.224092066;2964246.4479180104;7532841.864958152;12437841.864958152;0.5624353604559337;13.160618903715314;10.701489627368028;0.8042462227354976;9.897243404632531;0.13160618903715313
7539264.16501738;2964224.0593370497;7535505.537576042;12440505.537576042;0.5630797099046668;13.15377609889493;10.704510808668966;0.8037814487811875;9.900729359887778;0.13153776098894931
7541932.396879641;2964206.8309478424;7538166.4419698715;12443166.441969872;0.5637280348550001;13.146936849427576;10.707550363511137;0.8033219451408625;9.904228418370275;0.13146936849427576
7544597.903038872;2964194.7553165946;7540824.561509424;12445824.561509423;0.5643803243580825;13.140101203642343;10.710608275013987;0.8028676986623137;9.907740576351674;0.13140101203642343
7547260.6669009775;2964187.82500786;7543479.87960971;12448479.87960971;0.5650365674671304;13.133269209849603;10.713684525873914;0.8024186962602738;9.91126582961364;0.13133269209849602
7549920.671917741;2964186.032584204;7546132.3797309715;12451132.379730972;0.5656967532377734;13.126440916340815;10.716779098363826;0.8019749249158786;9.91480417344795;0.13126440916340815
7552577.901586815;2964189.370605856;7548782.045378686;12453782.045378685;0.5663608707276985;13.119616371388336;10.719891974332654;0.801536371676119;9.918355602656534;0.13119616371388337
7555232.339451711;2964197.8316303813;7551428.860103583;12456428.860103583;0.5670289089954604;13.112795623245173;10.723023135204949;0.801103023653307;9.921920111551643;0.13112795623245174
7557883.969101801;2964211.408212328;7554072.807501636;12459072.807501636;0.5677008571018591;13.105978720144838;10.72617256198038;0.800674868024531;9.92549769395585;0.1310597872014484
7560532.7741723;2964230.092902909;7556713.8712141;12461713.8712141;0.5683767041068035;13.099165710301051;10.729340235233455;0.8002518920311354;9.92908834320232;0.1309916571030105
7563178.738344282;2964253.8782496513;7559352.034927493;12464352.034927493;0.5690564390723496;13.092356641907577;10.732526135113003;0.7998340829781778;9.932692052134826;0.13092356641907577
